Mousse à la framboise sur gelée de framboise,Average rating : 5 / 5,(1 vote),60,0
Macabarres framboise ,Average rating : 1 / 5,(1 vote),45,20
Macarons à la framboise,Average rating : 2 / 5,(17 votes),20,20
Charlotte aux framboises,Average rating : 4 / 5,(32 votes),30,0
Bavarois à la framboise,Average rating : 4 / 5,(27 votes),20,2
CheeseCake à la framboise,Average rating : 4 / 5,(9 votes),30,30
Vin de framboise,Average rating : 5 / 5,(2 votes),15,0
Coulis de framboises,Average rating : 5 / 5,(64 votes),10,10
Punch aux framboises ,Average rating : 5 / 5,(3 votes),5,0
Sorbet aux framboises,Average rating : 5 / 5,(2 votes),10,0
Cake au chocolat et pépites de chocolat,Average rating : 3 / 5,(8 votes),15,40
Profiteroles au chocolat,Average rating : 2 / 5,(12 votes),45,25
Chocolat chaud au chocolat en poudre,Average rating : 4 / 5,(4 votes),1,5
Flan au chocolat,Average rating : 3 / 5,(32 votes),10,60
Cerises au chocolat,Average rating : 3 / 5,(1 vote),15,0
Bûche au chocolat,Average rating : 3 / 5,(8 votes),20,15
Religieuse au Chocolat,Average rating : 3 / 5,(2 votes),90,40
Muffins au chocolat,Average rating : 3 / 5,(30 votes),10,20
Crinkles au chocolat,Average rating : 3 / 5,(2 votes),75,12
Montécaos au chocolat,Average rating : 3 / 5,(15 votes),5,5
Tiramisu fraises et fraises Tagada,4 / 5,(15 votes),20,5
Flan aux fraises,2 / 5,(5 votes),30,40
Barquettes à la fraise,3 / 5,(2 votes),15,15
Merveille aux fraises,4 / 5,(2 votes),60,0
bavarois aux fraises,4 / 5,(5 votes),30,4
Panacotta à la fraise,4 / 5,(59 votes),15,10
Tarte aux fraises,4 / 5,(12 votes),20,40
confiture de fraise,4 / 5,(44 votes),15,60
fraises à la chantilly,4 / 5,(9 votes),20,0
Fraises au mascarpone,4 / 5,(22 votes),15,0
